robot_name,n_joints_thumb,n_joints_index,n_joints_total,n_dof_independent,n_joints_with_mimics,mean_range_rad,median_range_rad,total_range_rad,thumb_mean_range_rad,index_mean_range_rad,thumb_workspace_vol_m3,index_workspace_vol_m3,avg_workspace_vol_m3,thumb_workspace_vol_norm,index_workspace_vol_norm,avg_workspace_vol_norm,intersection_vol_m3,opposability_index,jaccard_similarity,thumb_yoshikawa_mean,thumb_yoshikawa_max,index_yoshikawa_mean,index_yoshikawa_max,combined_yoshikawa_mean,combined_yoshikawa_max,thumb_log_manip_mean,index_log_manip_mean,combined_log_manip_mean,thumb_gci,index_gci,combined_gci,thumb_frac_singular,index_frac_singular,combined_frac_singular,l_ref_m,n_samples_actual
ARMS,4,4,8,8,9,1.396263625,1.439895,11.170109,1.28718075,1.5053465,0.0005326108832958628,0.0005416933036901764,0.0005371520934930196,0.10597074464297725,0.10777782535148642,0.10687428499723184,8.636919061664423e-05,0.017184416862118086,0.08742396102379822,9.260092639732406e-05,0.00020375536981788973,9.195501178762719e-05,0.00020838625606774998,8.515403455516285e-09,4.140872984005775e-08,-9.370858259688061,-9.574813084659985,-18.945671344348042,0.13527367478784239,0.27658306521576764,0.11487835365816786,0.0,0.0,0.0,0.17129368413340346,65536
DLR_handmodel,5,4,9,9,9,1.5722222222222222,1.615,14.15,1.3317999999999999,1.87275,0.0015058986072121257,0.0012823630759439047,0.0013941308415780151,0.1762041003771399,0.15004837050209752,0.1631262354396187,0.00010183740902642806,0.01191592113592606,0.037908162909011556,0.00021046450476420463,0.0004241205122768728,5.592068326606575e-05,0.00019310183907009004,1.176880191309975e-08,7.154843358742895e-08,-8.584314683109529,-9.908099371194501,-18.49241405430403,0.12896240303338358,0.14963572322045948,0.08220548225223548,0.0,0.0,0.0,0.20445288367535025,65536
ability_hand_right,2,1,3,3,4,2.0943951,2.0943951,6.2831852999999995,2.0943951,2.0943951,0.0003583340903669348,0.0,0.0001791670451834674,0.08935409972784364,0.0,0.04467704986392182,0.0,0.0,0.0,0.0032953895610982713,0.006314945062205704,0.11131548530310456,0.13507544232004667,0.0003668278883084971,0.0008525711470984211,-6.066551639778105,-2.2105690282590285,-8.277120668037133,0.5177359478223553,1.0,0.37567370122617194,0.0,0.0,0.0,0.1588758478392569,65536
allegro_hand_right,4,4,8,8,8,1.573625,1.8195000000000001,12.589,1.52875,1.6185,0.0024336975805945935,0.0016924830487077345,0.002063090314651164,0.22094112671344976,0.1536506074980531,0.18729586710575144,0.0005793917863778737,0.05259958144001213,0.1633567184394728,0.00031060086490182005,0.0007204681815683287,0.0003178428622573158,0.0005283493327934684,9.872422829737347e-08,3.637598673689378e-07,-8.289522583731799,-8.239321699050244,-16.528844282782043,0.203214350431551,0.29399361582212447,0.15065185513475382,0.0,0.0,0.0,0.2225,65536
dclaw_gripper,3,3,6,6,6,2.708,3.14,16.248,2.708,2.708,0.011031817983799073,0.0110055383108883,0.011018678147343686,0.31490110415896966,0.31415095599402604,0.3145260300764978,0.004104809910490179,0.11717100255590852,0.22890279063253866,0.0005095246498228196,0.0010552602178521945,0.0005098109647649763,0.0010556953073965617,2.597613946692672e-07,1.1097285146210404e-06,-7.953771451099036,-7.952801865470232,-15.90657331656927,0.1350568685904865,0.135213770816464,0.08328985762042218,0.0,0.0,0.0,0.3272082924115175,65536
Unitree_Dex3_Right,3,2,5,5,5,1.7600323099999997,1.74532925,8.800161549999999,1.8280119933333332,1.6580627849999998,0.0011519464324994408,0.0,0.0005759732162497204,0.3075815061347499,0.0,0.15379075306737494,0.0,0.0,0.0,7.076846071743862e-05,0.00017914424202948042,0.001545431646473166,0.0024273796722407664,1.0936830179631393e-07,4.34644294477036e-07,-10.209768215298084,-6.784329916207875,-16.99409813150596,0.1533550372293192,0.17123103217812272,0.09711765890230789,0.0,0.0,0.0,0.1552949577695455,65536
dex5_right,4,4,8,8,8,1.488396047125,1.60569815,11.907168377,1.6219815,1.35481059425,0.0022769059105763128,0.0004539850144561112,0.001365445462516212,0.35420007692284833,0.0706228247268567,0.21241145082485252,0.00022925040437766359,0.03566265539914633,0.09164002680835268,0.00017525773363155338,0.00041368701342296346,5.628561485689054e-05,0.00016164887108116832,9.864683008573053e-09,6.326976213604946e-08,-8.769713879889348,-10.155053248955618,-18.92476712884497,0.18342292344961908,0.1747597462822001,0.1120369205682597,0.0,0.0,0.0,0.1859368536681498,65536
inspire_hand_right,2,1,3,3,6,1.2,1.4000000000000001,3.6,0.9500000000000001,1.7,0.00015251402292772826,0.0,7.625701146386413e-05,0.040648634278673844,0.0,0.020324317139336922,0.0,0.0,0.0,0.0128179679344383,0.026399882304592226,0.12080048281633057,0.12865632223627219,0.0015484167152238456,0.003396059445689285,-4.674861487201015,-2.115730367940781,-6.7905918551417965,0.20765112824999643,1.0,0.20765112824999643,0.0,0.0,0.0,0.15538935811962631,65536
leap_hand,4,4,8,8,8,2.639125,2.4935,21.113,2.9189999999999996,2.35925,0.0105881345748339,0.0064981605413720785,0.008543147558102988,0.6828733155750861,0.41909369423513954,0.5509835049051128,0.003562644985097617,0.22976995390415386,0.2634381214064751,0.0003274174215646045,0.0007387175264881293,0.0001928606781842418,0.00041164249261376406,6.315889468401893e-08,2.9212447311502593e-07,-8.201141577543893,-8.739038131522843,-16.940179709066737,0.1506696075573742,0.18528560798518226,0.10205721534187555,0.0,0.0,0.0,0.2493597975974644,65536
orcahand_right,4,3,7,7,7,1.8126242857142856,2.00713,12.688369999999999,1.7889175,1.8442333333333334,0.0012489645614645127,0.0009790606794233018,0.0011140126204439074,0.2590671520405319,0.2030821928171017,0.2310746724288168,3.5063676662905686e-05,0.007273102162704671,0.01598918888270564,0.00010507218424420328,0.00018082765700998802,5.3115693956216325e-05,0.0001574436538310757,5.580967569373251e-09,2.762937726936942e-08,-9.243037868168317,-10.314194797969243,-19.55723266613756,0.14013736833436571,0.13531496664661105,0.08176603124194877,0.0,0.0,0.0,0.1689322584951502,65536
